"排名","代號","名稱","成交","漲跌幅","成交額(百萬)","PER","累季營收年增(%)","近4Q營益季增(%)","風險係數(β)","累季ROA(%)","近4QROA(%)","歷年加均ROA(%)","累季ROE(%)","歷年加均毛利(%)","歷年加均毛利成長(%)","一個月走勢圖","三個月走勢圖"
"247",="6197","佳必琪","24.6","+5.58","20.9","10.4","+4.18","-1.53","0.95","5.47","6.57","4.97","7.96","18","-1.11","    ","    "
"248",="8069","元太","23.75","+9.95","280","8.11","-2.93","-8.01","1.18","6.49","8.72","3.84","8.92","27.3","+6.82","    ","    "
"249",="9943","好樂迪","51.9","+5.06","28.8","8.86","+0.22","-0.07","0.92","12.1","16.4","12.4","16","57","-2.25","    ","    "
"250",="9927","泰銘","27.6","+3.37","5.31","11.3","-11.3","+79.4","0.74","6.16","6.79","10.5","8.06","10.6","-1.22","    ","    "
"251",="1218","泰山","18.7","+1.36","23.3","16.7","-0.49","+49.6","0.64","5.56","5.73","1.65","7.86","16.5","-1.66","    ","    "
"252",="6173","信昌電","40.35","+7.31","126","8.99","-21.8","-33.3","1.5","9.95","16","5.96","14.3","23.2","+30.1","    ","    "
"253",="6486","互動","66","+3.12","20.7","10.1","+29.2","+7.78","0.71","8.85","13.1","9.1","18.6","37.7","-0.14","    ","    "
"254",="4947","昂寶-KY","218.5","0","44.3","21.1","-7.96","-8.83","0.44","8.72","11.4","19.2","11.6","47.7","+9.8","    ","    "
"255",="1785","光洋科","15.1","+4.5","25.2","6.43","+5.26","+8.86","0.94","5.16","5.16","2.46","16.1","4.8","+7.12","    ","    "
"256",="3665","貿聯-KY","134.5","+4.67","511","8.84","+10.1","+1.4","1.15","7.44","10.2","9.82","14.6","24.4","+18.2","    ","    "
"257",="8420","明揚","22.25","+2.06","0.13","8.79","+19.2","+18.5","0.63","8.07","12.2","6.66","12.8","12.3","+3.17","    ","    "
"258",="6294","智基","94","+3.87","4.17","10.6","+6.05","+3.72","0.42","12.6","15.2","-4.81","29.2","13.5","-7.25","    ","    "
"259",="3653","健策","137.5","+10","372","23.9","+14.5","+9.46","1.71","8.16","10.2","6.58","10.6","25.1","+5.18","    ","    "
"260",="3617","碩天","75.4","+8.49","30.5","9.29","+9.69","+6.63","1.17","6.15","6.87","9.58","13.4","42.6","+8.63","    ","    "
"261",="5438","東友","11.8","-3.67","1.7","12.7","-16","-17.1","0.27","2.81","4.1","6.27","3.99","24.9","-5.58","    ","    "
"262",="2367","燿華","17.7","+5.99","169","6.6","+16.5","+34.6","1.59","5.89","6.95","1.69","13.2","13.8","+5.43","    ","    "
"263",="5878","台名","44","0","0.4","15.1","+15.3","+22.3","0.1","6.72","9.15","13.4","9.73","25","+5.9","    ","    "
"264",="5536","聖暉","171","+2.7","79.8","8.92","-17.8","-0.13","0.71","8.29","9.66","8.17","17.8","15.4","+17.3","    ","    "
