"排名","代號","名稱","成交","漲跌幅","成交額(百萬)","PER","累季營收年增(%)","近4Q營益季增(%)","風險係數(β)","累季ROA(%)","近4QROA(%)","歷年加均ROA(%)","累季ROE(%)","歷年加均毛利(%)","歷年加均毛利成長(%)","一個月走勢圖","三個月走勢圖"
"85",="3034","聯詠","161.5","+5.21","1,464","12.4","+21.2","+1.81","1.24","12.8","17.7","14.4","19.9","28.6","+6.65","    ","    "
"86",="6176","瑞儀","77.3","+3.34","273","5.22","+19.6","+8.79","1.09","9.18","12.9","7.9","19.3","12.8","+5.89","    ","    "
"87",="5234","達興材料","67.2","+6.33","22.3","10.6","+6.15","-0.27","1.07","12.1","17.6","12.9","18.2","29","+11.9","    ","    "
"88",="8480","泰昇-KY","116","+3.11","3.43","13.2","+13","+7.12","0.68","10.4","14.5","19","14.2","31","+13","    ","    "
"89",="1109","信大","14.45","+2.48","4.7","5.05","+19.2","+3.26","0.82","9.76","15.4","3.92","12.7","20.1","+15.3","    ","    "
"90",="3491","昇達科","63.4","+3.59","46.4","13.3","+6.09","-4.57","1.29","10.1","12.4","9.63","12.9","36.9","+8.7","    ","    "
"91",="6290","良維","42.3","+8.18","69.2","7.85","-2.43","+71.8","1.66","10.4","11.9","5.41","17","13.4","-1.72","    ","    "
"92",="2348","海悅","46.05","+2.79","11","8.86","+13","+8.02","0.92","10.7","14.8","-7.86","23.3","25.8","-16.3","    ","    "
"93",="2383","台光電","99.6","+7.56","407","9.82","+3.42","+11.7","1.67","9.13","10.8","9.15","17.3","20.3","+8.02","    ","    "
"94",="8210","勤誠","72.9","+9.62","104","9.57","+4.09","+5.98","1.43","10.7","15.9","10.7","19.2","27.1","+7.47","    ","    "
"95",="3152","璟德","261.5","+7.17","304","27.9","-3.73","-6.43","1.41","13.2","19.2","20.5","15.2","60.5","+6.93","    ","    "
"96",="6494","九齊","25.7","+3.42","3.56","9.7","+7.02","+29.4","0.8","7.91","11","13.4","10.4","39.4","+4.04","    ","    "
"97",="4119","旭富","108","+6.93","662","15","+24.4","+6.36","0.79","12.4","15.5","9.89","14.6","35.7","+10.1","    ","    "
"98",="2732","六角","111","+9.36","82.1","12.5","+30.8","+19.7","1.41","10.5","12.2","11.2","20.2","51.9","+20.3","    ","    "
"99",="8481","政伸","48.6","+1.25","1.44","13.9","+9.29","+4.73","0.56","10.5","15.5","15.5","13.1","45.6","-0.17","    ","    "
"100",="2752","豆府","88","+7.32","4.87","13.2","+26.2","","0.73","11.6","","24.5","16.6","55.7","+15.9","    ","    "
"101",="3226","至寶電","46","+3.14","0.18","9.62","+13.8","-2.54","0.58","14.3","20.3","7.14","20.2","23.7","+17.7","    ","    "
"102",="2035","唐榮","37.8","-0.4","0.3","945","-18.6","+31.6","0.25","3.24","-0.52","-1.13","11.9","0.1","-1072","    ","    "
"103",="3570","大塚","73.7","+9.19","3.89","9.76","+32.4","+8.77","0.97","12.8","16.5","10.5","17","39.3","+3.23","    ","    "
"104",="6679","鈺太","94.1","+9.93","110","23.2","+24","+19.2","1.26","11","13.5","9.34","13.8","26.8","+40.1","    ","    "
"105",="6210","慶生","38.15","+2.69","4.06","8.77","+7.81","+40.1","0.91","10.1","12.5","13.4","12.8","34.8","-10.9","    ","    "
"106",="6415","矽力-KY","931","+9.92","716","36.6","+4.4","+0.02","1.16","11.2","14.1","20","12.1","47.2","+20.3","    ","    "
"107",="2915","潤泰全","65.8","+4.28","141","3.42","-70.6","-1003","0.71","11.4","10.8","16.8","17.6","63.8","+7.54","    ","    "
"108",="2231","為升","90","+5.26","130","11.3","-0.61","+1.82","1.5","12.4","16.3","21","20.2","50.4","+12.3","    ","    "
"109",="5474","聰泰","60.3","+9.84","17.1","7.81","+13.8","-7.19","0.98","13.9","19.2","19.4","18.6","44.5","+13.9","    ","    "
"110",="6269","台郡","91","+8.72","498","9.54","-5.91","+6.88","1.56","5.06","9.47","10.9","7.8","22.5","+10.2","    ","    "
"111",="6613","朋億","131.5","+2.73","5.46","8.98","-16.2","+5.74","0.75","8.92","11.7","9.87","16.7","24.2","+22.6","    ","    "
"112",="6426","統新","71.4","+5.47","49.4","25.1","+32.6","+127","1.85","8.16","9.5","7.31","10.8","40.6","-9.32","    ","    "
"113",="4107","邦特","85.8","+4.76","28.2","12.8","+16.2","+4.6","0.86","12.6","16.9","12.1","15.3","40.6","+11.1","    ","    "
"114",="2428","興勤","68","+8.63","46.5","8.22","-5.32","-1.94","1.26","9.97","13.2","10.7","13.4","29.3","+11","    ","    "
"115",="6672","騰輝電子-KY","73.1","+5.18","44.8","10.9","-1.31","+6.53","1.46","8.63","9.89","7.04","18","23.8","+12.1","    ","    "
"116",="4974","亞泰","42.25","+5.1","26.1","8.55","+1.51","+10.6","1.18","9.17","11","9.78","12.7","13.2","+5.34","    ","    "
"117",="8432","東生華","75","+2.46","1.5","33.8","-3.37","+3.34","0.47","6.5","7.23","6.54","7.14","65.9","-2.8","    ","    "
"118",="6203","海韻電","32.6","+4.99","8.03","8.96","-8.57","+10.5","1.04","10.4","12.1","12.8","14.6","27.7","+1.85","    ","    "
"119",="3479","安勤","60","+6.01","65.1","9.02","+15.7","+25.7","1.22","8.59","10.5","9.19","13.8","25.1","+6.89","    ","    "
"120",="6146","耕興","157","+5.02","45.2","21.8","-0.21","-3.71","0.76","10.6","14.7","17.4","13.5","46.5","+5","    ","    "
"121",="1773","勝一","81.5","+3.16","9.13","13.8","-8.74","-1.21","0.85","9.75","13.5","13","13.3","20.6","+8.48","    ","    "
"122",="2455","全新","74","+8.66","282","26.6","+13.6","+23.8","1.62","9.56","11.4","10.1","14.8","35.4","+0.88","    ","    "
"123",="5225","東科-KY","21.1","+6.03","7.79","2.83","+19.3","-3.24","1.33","5.9","7.6","5.73","18.7","13.7","+8.93","    ","    "
"124",="3227","原相","129.5","+9.75","1,496","20.8","-3","+0.01","1.39","6.09","7.35","8.35","7.82","48.4","+8.14","    ","    "
"125",="8467","波力-KY","38.15","+1.87","0.35","14.3","-7.09","-16.2","0.98","5.62","6.74","6.08","8.57","26","-8.16","    ","    "
"126",="6472","保瑞","126.5","+4.98","50.2","16","+14.6","+24.6","1.12","10.4","14.6","11","17.6","34.4","+52.1","    ","    "
"127",="5347","世界","56.7","+3.09","470","15.8","-1.28","-2.61","0.85","11","16.4","12.5","15.1","30.3","+9.55","    ","    "
"128",="6680","鑫創電子","56.6","+2.91","0.4","16.8","+15.4","","0.44","9.9","","17.2","14.3","36.1","+8.82","    ","    "
"129",="8424","惠普","45.1","+2.27","2.11","8.67","-2.61","-1.99","0.47","11.7","15.5","14.1","13.9","28.3","+7","    ","    "
"130",="4721","美琪瑪","34.75","+8.93","14","13","-35.6","+8.99","1.41","7.82","9.3","7.35","13.9","9.5","+5.41","    ","    "
"131",="4105","東洋","59.7","+2.58","56.2","16.5","+13.9","+10.4","0.72","9.6","13.6","13","14.2","65.3","+3.42","    ","    "
"132",="6568","宏觀","92.5","+5.11","6.4","10.4","+8.31","+2.51","1.15","12","16.9","18.2","14.4","44.9","+8.67","    ","    "
"133",="3067","全域","38","+7.5","5.06","","-51.5","-6.02","0.62","-7.03","-10.2","-1.19","-8.45","21.6","-9.69","    ","    "
"134",="6669","緯穎","668","+4.54","1,840","18.9","-15.2","-3.61","1.06","12.4","13.8","12.8","28.9","5.7","+58.7","    ","    "
"135",="4958","臻鼎-KY","81.1","+7.42","597","8.54","-0.86","-3.13","1.74","5.13","8.93","6.67","8.78","18.5","+18.6","    ","    "
"136",="1582","信錦","64.3","+3.71","41.2","8.45","-3.84","-1.57","0.9","8.47","11.1","9.5","12.9","23","+3.88","    ","    "
"137",="8086","宏捷科","69.8","+9.4","660","27.5","-4.46","+59.4","1.68","6.19","7.27","11.6","7.48","28.6","-1.01","    ","    "
"138",="3014","聯陽","38.15","+3.53","101","11.4","+3.06","+1.44","1.09","8.05","9.63","3.94","10.4","43.5","+4.87","    ","    "
"139",="4439","冠星-KY","102.5","+6.88","15.2","10.9","+31.9","","1.39","9.32","","","20.6","","","    ","    "
"140",="8048","德勝","28.05","+3.12","4.13","9.41","+20.5","+17.4","0.8","10.9","14.2","9.98","14.8","28","+3.57","    ","    "
"141",="3023","信邦","108","+9.53","139","14.6","+17.4","+1.12","1.21","9.37","11","7.8","19.6","22.8","+9.5","    ","    "
"142",="6488","環球晶","334.5","+4.21","2,839","10.7","+2.64","-2.88","1.35","11.5","15.7","10.2","24.9","31.2","+45.5","    ","    "
"143",="6641","基士德-KY","53","+6","1.47","7.81","+1.27","-5.29","0.99","9.77","12.8","10.8","14.2","39.3","+14.4","    ","    "
"144",="2059","川湖","288.5","+1.05","62.6","17.6","+7.39","+6.33","0.55","10.2","14.3","17.2","12.1","53.8","+4.82","    ","    "
"145",="6138","茂達","51.1","+6.46","40.4","11.4","-11","-17.1","1.27","9.45","12.4","8.28","14.2","27.3","+8.55","    ","    "
"146",="4953","緯軟","59.5","+6.25","33.6","9.97","+42.9","+19","1.49","10.8","14.8","5.96","17.5","20.4","+21.4","    ","    "
"147",="3169","亞信","26.7","+4.91","2.75","10.2","+19","+2.37","1.18","10.9","16","10.1","12.4","42.3","+3.56","    ","    "
"148",="8426","紅木-KY","11.65","-0.43","0.49","19.8","+18.5","+361","0.87","-1.66","2.54","9.86","-3.1","30.7","-6.77","    ","    "
"149",="1593","祺驊","40.3","+2.41","0.61","10.4","+3.93","-9.02","0.66","8.21","12.1","8.36","9.93","27.1","+4.18","    ","    "
"150",="8422","可寧衛","136.5","+1.49","58.5","13.2","-23.8","-5.49","0.41","12.2","16.8","24.6","15.5","66.2","+7.92","    ","    "
"151",="6431","光麗-KY","17.45","-0.57","2.62","","+165","-0.68","0.96","-1.86","-4.54","-13.8","-2.23","-13.8","-29.1","    ","    "
"152",="2114","鑫永銓","68.5","+2.39","2.66","12.5","-10","-3.18","0.6","11.3","15","14.8","13","32.5","+4.23","    ","    "
"153",="8083","瑞穎","130.5","+1.95","6.37","14.5","+6.63","+2.47","0.39","18.6","18.6","20.8","27.2","39.3","+5.23","    ","    "
"154",="3556","禾瑞亞","40.1","+4.16","11.1","12.2","+5.89","-4.05","0.88","11.3","14.7","15.1","14.2","53.5","+3.99","    ","    "
"155",="3443","創意","168","+7.69","243","35.5","-20.4","+10.9","1.4","7.7","7.7","10.7","14.6","26.4","+8.32","    ","    "
"156",="2640","大車隊","63.2","+7.48","5.78","13.2","+1.2","+9.89","0.9","8.42","10.4","10.2","14.9","47.1","+7.97","    ","    "
"157",="6213","聯茂","118","+2.16","995","14.5","+2.23","+16.3","1.29","8.86","11.4","6.7","21.9","13.5","+5.69","    ","    "
"158",="4571","鈞興-KY","46.5","+5.2","0.84","10.3","+2.31","","0.93","8.51","","","11","","","    ","    "
"159",="2433","互盛電","45.8","+3.04","7.95","10.8","+6.98","+3.99","0.62","6.43","7.63","7.17","11","39","+3.61","    ","    "
"160",="8436","大江","162.5","+4.84","240","9.55","+36.4","-10.4","1.19","15.4","22.8","16","26","41.6","+42.3","    ","    "
"161",="8271","宇瞻","34.1","+6.07","66.5","9.14","-22.9","+19.2","1.38","6.57","8","8.45","10.2","10.6","+3","    ","    "
"162",="6180","橘子","40.4","+3.32","52.9","7.92","-37.4","-11.2","0.97","6.76","10.1","3.82","12.6","28.7","+16.8","    ","    "
"163",="3206","志豐","23.35","+4.24","3.71","7.41","+18.7","-9.94","1.12","7.09","8.77","5.85","15.8","22.5","+7.81","    ","    "
"164",="5288","豐祥-KY","84.8","+2.17","10.4","8.93","+20.3","+0.95","0.97","10.4","14.8","14.6","15.6","17.8","+5.4","    ","    "
"165",="1723","中碳","91.9","+2.11","25.9","16.5","-4.8","-3.13","0.66","9.45","12.3","19.7","15.7","28.6","+1.71","    ","    "
"166",="9914","美利達","90.8","+6.2","288","11.3","+5.01","+8.77","0.94","7.81","9.7","10.8","13.9","15","+2.65","    ","    "
"167",="6577","勁豐","58.1","+1.57","3.08","10.3","+0.28","+3.27","0.54","10.5","14.9","13.5","15","25.3","+10.3","    ","    "
"168",="2439","美律","117","+1.74","328","9.58","+25.7","-8.83","1.13","7.07","12","10.4","18.5","18.4","+12.3","    ","    "
"169",="3130","一零四","132","+3.94","1.32","15.3","+3.09","+0.52","0.52","9.15","11.8","15","15.1","66.2","+4.9","    ","    "
"170",="5215","科嘉-KY","53.2","+6.61","60.6","12.6","+14.2","+8.7","1.08","7.08","8.58","6.11","9.44","23.3","+1.23","    ","    "
"171",="6532","瑞耘","30.25","+10","24.1","11.5","-5.42","-3.57","1.42","8.92","13.2","12","11.2","34.9","+20.3","    ","    "
"172",="9924","福興","34.3","+2.24","7.64","7.83","+6.71","+5.26","0.62","8.67","11.4","9.13","12.8","19.6","+6.33","    ","    "
"173",="4549","桓達","61.3","+1.83","5.83","11.5","+0.04","+1.74","0.63","10.3","14","13.1","12.6","57.2","+5.96","    ","    "
"174",="6690","安碁資訊","105","+5.11","6.64","20.6","+29.8","","1.52","9.64","","5.08","22.1","31.5","-6.76","    ","    "
"175",="8489","三貝德","47.2","+6.31","23.8","11.6","-7.2","-24.3","1.33","8.46","14.3","23","14.6","76.3","+25.2","    ","    "
"176",="2228","劍麟","70","+7.53","60.6","8.08","+9.1","+8.5","1.26","8.83","11","13.5","12.1","29.8","+4.68","    ","    "
"177",="9802","鈺齊-KY","73.1","+9.92","109","9.99","+27.2","+16.7","1.24","7.69","9.4","6.26","12.5","17.3","+6.55","    ","    "
"178",="8049","晶采","16.3","+3.16","11","7.28","+3.72","-8.15","0.78","11","14.8","5.26","13.5","19.1","+13.2","    ","    "
"179",="1333","恩得利","2","-2.44","0.17","","-3.52","+68","0.32","-2.64","-5.2","-7.76","-6.3","17.4","-13.2","    ","    "
"180",="6803","崑鼎","186","+3.91","32.2","15.4","+9.95","+4.03","0.49","8.81","11","12.4","15","28.1","+6.04","    ","    "
"181",="9945","潤泰新","31.45","+4.49","139","2.9","+14.4","-0.21","0.95","9.09","9","10.6","17.5","20.9","+3.68","    ","    "
"182",="8081","致新","98.5","+4.12","167","11.3","+22.6","+7","1.32","9.1","11.1","10.6","13.1","33.4","+1.56","    ","    "
"183",="3030","德律","43.2","+3.1","38.5","10.9","-16.9","-2.15","0.84","11.4","14.5","15.7","13.9","52.6","+5.68","    ","    "
"184",="8109","博大","56.6","+3.28","8.02","11.3","+0.68","-2.98","0.73","10.5","14.4","15.8","21.1","50.3","+9.49","    ","    "
"185",="6136","富爾特","15.5","+5.8","4.72","22.5","+49.5","+22.8","0.71","3.16","2.86","6.97","3.3","19.6","-10.1","    ","    "
"186",="4580","捷流閥業","71.7","+2.43","4.72","9.9","+26.3","","0.82","9.46","","8.96","21","30.5","+7.66","    ","    "
"187",="4995","晶達","39.25","+3.02","0.31","9.48","+39.4","+21.5","0.63","9.18","13.3","9.4","15","33","+8.72","    ","    "
"188",="1565","精華","295","+3.87","62.8","11.6","-4.02","-7.79","0.81","11.3","16.6","23.4","17.4","43","+6.01","    ","    "
"189",="4931","新盛力","22.8","+3.64","8.66","10.6","+19.7","","1.41","8.21","","-2.6","12.6","8.2","-1.23","    ","    "
"190",="1301","台塑","70.5","+5.7","899","12","-8.46","-2.73","0.91","6.87","7.23","8.87","9.68","13.1","+6.45","    ","    "
"191",="4413","飛寶企業","14.35","+7.89","0.05","16.5","-13","-13.4","0.24","8.29","9.08","-2.92","10.1","5.8","+12.8","    ","    "
"192",="6292","迅德","33.95","+4.3","4.96","7.93","-23.4","-14.5","0.75","11","9.37","8.12","18.8","30.2","+1.46","    ","    "
"193",="1541","錩泰","25.95","+6.57","1.77","12","+22.5","+47.7","0.69","6.48","5.56","6.24","17","16.9","+2.4","    ","    "
"194",="6629","泰金-KY","43","-4.23","1.9","10.5","+13.5","","0.38","10.8","","10.4","21.1","20","-18.9","    ","    "
"195",="1777","生泰","66.8","+2.3","10.3","12.6","+16.8","+24.1","0.51","7.09","9.29","9.94","11.6","33.6","+6.02","    ","    "
"196",="6591","動力-KY","30.85","+4.75","13.7","9.43","-10.7","+362","1.4","4.16","4.99","8.31","6.9","24.5","-7.91","    ","    "
"197",="9946","三發地產","10.05","+9.48","7.69","2.04","+328","+24.1","0.95","10.9","12.8","4.52","22","32.6","+1.18","    ","    "
"198",="9911","櫻花","39.2","+1.29","22.1","9.66","+4.11","+1.26","0.33","8.52","13.5","5.32","12.2","31.4","+4.33","    ","    "
"199",="3374","精材","50.3","+9.83","51.9","75.1","-1.3","+49","2","2.87","2.87","-4.68","5.7","4.8","+26.8","    ","    "
"200",="2643","捷迅","31.85","+2.08","2.86","8.45","+13.4","+24","0.66","5.92","7.93","7.64","11.5","11.6","-2.61","    ","    "
"201",="5457","宣德","46.15","+8.72","125","21.1","+86.7","+25.5","1.57","4.67","6.39","-0.71","11.8","14.4","+18.7","    ","    "
"202",="2441","超豐","35.95","+3.3","30.8","10.8","-7.54","-3.93","0.76","7.48","9.85","13.3","8.7","27.1","+6.42","    ","    "
"203",="6114","久威","19.3","+5.18","3.2","2.91","-0.74","-12.6","1.09","8.1","13.2","14.5","14.8","22.3","+15.5","    ","    "
