公司名稱,公司代號,營業收入(百萬元),毛利率(%),營業利益率(%),稅前純益率(%),稅後純益率(%)
第一銅,2009,"1,902.40",-4.72,-6.84,-5.89,-5.89
春雨,2012,"7,020.44",16.06,6.31,6.63,6.05
中鴻,2014,"33,182.96",4.50,0.90,1.30,1.27
官田鋼,2017,"3,105.72",8.14,-2.74,-2.55,-2.69
聚亨,2022,"8,595.04",2.86,-1.53,-1.75,-2.39
志聯,2024,939.18,8.81,3.29,2.62,2.07
大成鋼,2027,"61,992.29",18.94,8.24,5.76,4.32
盛餘,2029,"7,586.65",5.72,0.69,0.87,0.52
新光鋼,2031,"6,129.77",3.12,-0.29,2.86,2.85
佳大,2033,634.25,9.02,-0.62,0.08,0.08
海光,2038,"5,810.25",-2.05,-3.90,-3.44,-2.76
川湖,2059,"3,495.46",52.97,40.02,46.73,35.49
運錩,2069,"6,520.38",5.40,0.60,-0.36,-0.48
泰豐,2102,"3,452.80",15.43,-7.76,-8.76,-9.17
國際中橡,2104,"18,694.33",25.77,13.20,13.36,8.74
建大,2106,"24,677.47",20.10,4.13,5.09,3.84
南帝,2108,"9,414.61",26.16,15.95,17.22,12.34
鑫永銓,2114,"1,236.98",35.72,26.59,30.07,23.98
裕隆,2201,"62,833.98",20.55,-1.18,0.92,-1.79
三陽工業,2206,"25,562.10",17.31,2.23,10.11,9.22
裕日車,2227,"23,795.29",15.00,3.39,26.65,21.28
為升,2231,"3,040.72",54.41,33.90,34.62,28.09
百達-KY,2236,"1,353.99",26.62,8.14,7.82,4.55
宏旭-KY,2243,"1,205.64",6.74,-4.12,-5.97,-6.08
麗正,2302,370.23,32.48,0.32,3.67,3.66
全友,2305,348.17,29.55,-31.28,1.76,-1.19
金寶,2312,"102,716.81",6.59,1.31,1.07,0.75
台揚,2314,"4,370.05",17.14,-0.31,-0.25,-0.46
鴻海,2317,"3,601,878.65",5.64,1.81,2.81,2.11
中環,2323,"5,524.77",18.98,2.03,2.24,2.07
國巨,2327,"31,290.83",36.51,20.28,25.62,19.68
華泰,2329,"13,416.56",10.69,5.03,5.07,4.04
精英,2331,"21,097.20",10.70,-1.08,-0.17,-0.19
旺宏,2337,"25,414.77",27.97,9.20,9.57,8.89
光磊,2340,"4,126.86",30.86,13.44,14.74,11.14
華邦電,2344,"36,318.77",27.97,3.83,5.45,4.47
聯強,2347,"246,715.29",4.28,1.61,2.48,2.08
錸德,2349,"5,905.76",9.01,-9.63,-8.52,-8.69
佳世達,2352,"123,891.92",13.86,3.94,4.13,2.89
鴻準,2354,"72,734.72",9.60,4.84,8.47,7.27
英業達,2356,"371,374.78",4.48,1.19,1.31,0.95
廷鑫,2358,"1,220.61",9.71,2.24,-0.55,0.16
