公司名稱,公司代號,營業收入(百萬元),毛利率(%),營業利益率(%),稅前純益率(%),稅後純益率(%)
偉聯,9912,434.65,34.35,-5.44,-7.39,-8.67
中保科,9917,"10,002.12",36.64,19.26,20.13,16.35
康那香,9919,"2,998.95",14.26,-0.80,-0.82,-0.76
福興,9924,"6,584.56",23.99,13.82,14.69,10.56
新海,9926,"1,838.82",23.73,17.44,20.55,16.87
中視,9928,525.60,-5.51,-29.96,-19.94,-19.94
中聯資源,9930,"7,008.33",16.73,11.99,11.78,9.24
中鼎,9933,"43,053.02",5.29,2.33,2.74,2.06
慶豐富,9935,"4,148.28",18.76,7.87,6.84,5.49
百和,9938,"11,608.98",35.38,17.75,16.70,11.06
信義,9940,"9,304.70",31.20,17.57,18.43,10.91
茂順,9942,"2,252.55",34.12,19.09,19.82,14.31
新麗,9944,"2,237.10",24.14,3.18,2.42,0.73
三發地產,9946,"3,930.37",40.88,32.90,32.61,32.47
世紀鋼,9958,"1,427.30",10.29,-2.17,42.90,40.42
